time,VIC_price_close,VIC_volume,KDH_price_close,KDN_Volume,DXG_price close,DXG_Volume,,,,,,,,,,,Mã Cổ Phiếu,time,Price open,Price high,Price low,Price close,Volume
2008-11-03,"2,489.503210 ₫",29534790.03,,,,,,,,,,,,,,,DXG,2013-03-01,"2,818.40319193 ₫","2,886.04486823 ₫","2,299.81700567 ₫","2,570.38371089 ₫",13594052.15
2008-12-01,"2,443.401300 ₫",20155379.56,,,,,,,,,,,,,,,DXG,2013-04-01,"2,570.38371089 ₫","2,705.66706727 ₫","1,758.68359146 ₫","1,758.68359146 ₫",7276549.377
2009-01-01,"2,458.768600 ₫",4962522.396,,,,,,,,,,,,,,,DXG,2013-05-01,"1,736.13636728 ₫","2,277.26978150 ₫","1,691.04191516 ₫","2,209.62810519 ₫",10417728.76
2009-02-02,"1,306.220820 ₫",7672491.035,,,,,,,,,,,,,,,DXG,2013-06-03,"2,209.62810519 ₫","2,277.26978150 ₫","1,984.15584833 ₫","2,119.43920093 ₫",12203442.03
2009-03-02,"1,235.531225 ₫",210957227.5,,,,,,,,,,,,,,,DXG,2013-07-01,"2,119.43920093 ₫","2,232.17532937 ₫","1,803.77804359 ₫","1,826.32526776 ₫",7879660.388
2009-04-01,"1,229.384300 ₫",151310288,,,,,,,,,,,,,,,DXG,2013-08-01,"1,803.77804359 ₫","2,029.25030046 ₫","1,803.77804359 ₫","1,848.87249572 ₫",7304441.057
2009-05-01,"2,059.218705 ₫",78390060.45,,,,,,,,,,,,,,,DXG,2013-09-02,"1,848.87249572 ₫","2,006.70307250 ₫","1,758.68359146 ₫","1,984.15584833 ₫",6214703.432
2009-06-01,"2,289.728260 ₫",82750681.81,,,,,,,,,,,,,,,DXG,2013-10-01,"1,984.15584833 ₫","2,390.00590615 ₫","1,916.51417202 ₫","2,232.17532937 ₫",25724176.08
2009-07-01,"2,627.647765 ₫",42071312.34,,,,,,,,,,,,,,,DXG,2013-11-01,"2,209.62810519 ₫","2,931.13932036 ₫","2,187.08087724 ₫","2,683.11983932 ₫",78016158.41
2009-08-03,"3,109.784970 ₫",51558560.04,,,,,,,,,,,,,,,DXG,2013-12-02,"2,705.66706727 ₫","3,066.42267297 ₫","2,615.47816301 ₫","2,818.40319193 ₫",150878788.7
2009-09-01,"3,085.678110 ₫",55611297.8,,,,,,,,,,,,,,,DXG,2014-01-01,"2,818.40319193 ₫","2,998.78099666 ₫","2,728.21429145 ₫","2,863.49764406 ₫",87866615.6
2009-10-01,"4,098.166240 ₫",82731411.96,,,,,,,,,,,,,,,DXG,2014-02-03,"2,863.49764406 ₫","3,833.02834404 ₫","2,840.95041988 ₫","3,652.65053931 ₫",203105077.8
2009-11-02,"5,641.005295 ₫",84473473.29,,,,,,,,,,,,,,,DXG,2014-03-03,"3,630.10331135 ₫","3,990.85892083 ₫","3,336.98938196 ₫","3,675.19776348 ₫",139831324
2009-12-01,"4,532.089725 ₫",45626587.67,,,,,,,,,,,,,,,DXG,2014-04-01,"3,652.65053931 ₫","3,787.93389191 ₫","3,246.80047770 ₫","3,585.00886300 ₫",62326157.03
2010-01-01,"4,580.303445 ₫",13678873.57,,,,,,,,,,,,,,,DXG,2014-05-01,"3,539.91441087 ₫","3,585.00886300 ₫","2,750.76151562 ₫","3,246.80047770 ₫",38981739.82
2010-02-01,"4,315.127980 ₫",37198401.48,,,,,,,,,,,,,,,DXG,2014-06-02,"3,201.70602935 ₫","3,472.27273457 ₫","3,134.06434927 ₫","3,359.53660614 ₫",67512718
2010-03-01,"4,315.127980 ₫",48980854.89,,,,,,,,,,,,,,,DXG,2014-07-01,"3,359.53660614 ₫","3,585.00886300 ₫","3,111.51712510 ₫","3,201.70602935 ₫",84201132.24
2010-04-01,"5,448.150410 ₫",56226535.64,,,,,,,,,,,,,,,DXG,2014-08-01,"3,201.70602935 ₫","3,742.83943978 ₫","3,134.06434927 ₫","3,720.29221561 ₫",76185490.6
2010-05-03,"5,598.831815 ₫",45743396.36,,,,,,,,,,,,,,,DXG,2014-09-01,"3,765.38666774 ₫","3,810.48111609 ₫","3,404.63105827 ₫","3,472.27273457 ₫",170681061.9
2010-06-01,"5,940.745210 ₫",43516340.76,,,,,,,,,,,,,,,DXG,2014-10-01,"3,539.91441087 ₫","3,787.93389191 ₫","3,021.32822462 ₫","3,224.25325353 ₫",150621032.9
2010-07-01,"5,812.527685 ₫",28633596.81,,,,,,,,,,,,,,,DXG,2014-11-03,"3,224.25325353 ₫","3,449.72551040 ₫","2,998.78099666 ₫","3,404.63105827 ₫",65046477.53
2010-08-02,"5,385.135945 ₫",27055299.45,,,,,,,,,,,,,,,DXG,2014-12-01,"3,382.08383031 ₫","3,449.72551040 ₫","2,795.85596775 ₫","3,156.61157723 ₫",84302813.93
2010-09-01,"5,214.179250 ₫",55295719.94,,,,,,,,,,,,,,,DXG,2015-01-01,"3,156.61157723 ₫","3,855.57556822 ₫","3,043.87544879 ₫","3,720.29221561 ₫",147263525.3
2010-10-01,"5,769.788510 ₫",36441214.26,,,,,,,,,,,,,,,DXG,2015-02-02,"3,720.29221561 ₫","4,283.97285400 ₫","3,472.27273457 ₫","4,193.78395352 ₫",79696837.03
2010-11-01,"6,923.746215 ₫",42210276.59,,,,,,,,,,,,,,,DXG,2015-03-02,"4,148.68950139 ₫","4,511.47648112 ₫","4,053.09117024 ₫","4,101.34225281 ₫",118735228.4
2010-12-01,"8,334.138960 ₫",58890309.43,,,,,,,,,,,,,,,DXG,2015-04-01,"4,101.34225281 ₫","4,318.47213950 ₫","3,546.45477302 ₫","3,570.58031430 ₫",94703723.39
2011-01-03,"8,077.703915 ₫",34310284.7,,,,,,,,,,,,,,,DXG,2015-05-01,"3,570.58031430 ₫","4,053.09117024 ₫","3,136.32054849 ₫","3,932.46345626 ₫",144072770
